COUNTRY,WHO_REGION,DATE_UPDATED,TOTAL,FULLY_VACCINATED,RATE
Afghanistan,Eastern Mediterranean,2021/11/23,4331275,3499948,9.80%
Albania,Europe,2021/11/21,2006988,942755,37.40%
Algeria,Africa,2021/11/22,12032500,5314016,15.30%
American Samoa,Western Pacific,2021/11/24,66691,31158,63.80%
Andorra,Europe,2021/10/31,104534,49535,72.20%
Angola,Africa,2021/11/22,8935015,2717815,18.90%
Anguilla,Americas,2021/11/19,19066,9160,66.00%
Antigua and Barbuda,Americas,2021/11/19,115487,54698,62.10%
Argentina,Americas,2021/11/19,65193571,28189936,80.00%
Armenia,Europe,2021/11/14,1023366,322786,23.60%
Aruba,Americas,2021/11/19,160581,77389,77.90%
Australia,Western Pacific,2021/11/20,38431500,18309411,77.60%
Austria,Europe,2021/11/21,12960625,5403723,70.10%
Azerbaijan,Europe,2021/11/21,9372104,4324858,49.80%
Bahamas,Americas,2021/11/19,274502,134481,37.90%
Bahrain,Eastern Mediterranean,2021/11/24,2878762,1155518,69.70%
Bangladesh,South-East Asia,2021/11/23,91816787,35414244,34.20%
Barbados,Americas,2021/11/19,285653,133458,53.00%
Belarus,Europe,2021/11/21,5975709,2560448,36.10%
Belgium,Europe,2021/11/21,18148863,8241991,76.40%
Belize,Americas,2021/11/19,403528,190806,57.20%
Benin,Africa,2021/11/19,383501,297726,2.80%
Bermuda,Americas,2021/11/19,89841,44427,72.90%
Bhutan,South-East Asia,2021/11/21,1153283,564142,76.40%
Bolivia (Plurinational State of),Americas,2021/11/19,8267900,4027093,41.60%
Bonaire,Americas,2021/11/19,31751,14890,80.60%
"Bonaire, Sint Eustatius and Saba",Americas,2021/4/9,7391,2965,22.00%
Bosnia and Herzegovina,Europe,2021/11/4,1553874,720631,25.40%
Botswana,Africa,2021/11/25,1016989,890002,43.20%
Brazil,Americas,2021/11/19,279218158,124396384,75.10%
British Virgin Islands,Americas,2021/11/19,34608,16471,60.00%
Brunei Darussalam,Western Pacific,2021/11/12,686172,295458,86.40%
Bulgaria,Europe,2021/11/21,3189047,1295027,26.40%
Burkina Faso,Africa,2021/11/23,490477,323767,2.10%
Burundi,Africa,2021/11/23,1438,564,0.00%
Cabo Verde,Africa,2021/11/19,539908,236339,54.60%
Cambodia,Western Pacific,2021/11/19,28391107,13233183,84.30%
Cameroon,Africa,2021/11/24,923643,565876,2.80%
Canada,Americas,2021/11/19,59852559,28795770,79.80%
Cayman Islands,Americas,2021/11/19,121080,55352,87.60%
Central African Republic,Africa,2021/11/19,422496,321982,7.50%
Chad,Africa,2021/11/21,249651,70521,1.10%
Chile,Americas,2021/11/19,39642261,15853872,87.60%
China,Western Pacific,2021/11/19,2433028166,1014891521,78.50%
Colombia,Americas,2021/11/19,51955048,22989636,64.60%
Comoros,Africa,2021/11/14,476350,198198,32.00%
Congo,Africa,2021/11/22,644918,474446,9.30%
Cook Islands,Western Pacific,2021/10/30,24346,11726,71.70%
Costa Rica,Americas,2021/11/19,6878077,3030603,75.00%
C?te d��Ivoire,Africa,2021/11/14,3845788,1176366,10.10%
Croatia,Europe,2021/11/21,3989589,1736478,52.40%
Cuba,Americas,2021/11/19,27741924,8951589,89.30%
Curaçao,Americas,2021/11/19,196285,94120,62.30%
Cyprus,Europe,2021/11/21,1260994,574761,69.20%
Czechia,Europe,2021/11/21,13034363,5893394,60.90%
Democratic Republic of the Congo,Africa,2021/11/24,186749,53013,0.20%
Denmark,Europe,2021/11/21,8893165,4377095,77.60%
Djibouti,Eastern Mediterranean,2021/11/22,92913,55787,7.40%
Dominica,Americas,2021/11/19,55134,26544,39.70%
Dominican Republic,Americas,2021/11/19,13656936,5518624,63.00%
Ecuador,Americas,2021/11/19,23726729,10687613,75.00%
Egypt,Eastern Mediterranean,2021/11/20,36906765,14022224,23.10%
El Salvador,Americas,2021/11/19,8933030,3993237,67.60%
Equatorial Guinea,Africa,2021/11/23,443135,196616,17.60%
Estonia,Europe,2021/11/21,1656161,692499,61.60%
Eswatini,Africa,2021/11/18,293353,258674,23.20%
Ethiopia,Africa,2021/11/24,6890413,3147640,3.30%
Falkland Islands (Malvinas),Americas,2021/4/14,4407,1775,75.60%
Faroe Islands,Europe,2021/11/5,78347,38142,82.30%
Fiji,Western Pacific,2021/11/19,1213236,579724,70.70%
Finland,Europe,2021/11/21,8449198,3993956,77.30%
France,Europe,2021/11/21,102988226,45648876,76.80%
French Guiana,Americas,2021/11/19,165026,75790,29.10%
French Polynesia,Western Pacific,2021/11/22,316788,155959,57.30%
Gabon,Africa,2021/11/22,273421,111626,7.30%
Gambia,Africa,2021/11/21,268008,222890,9.80%
Georgia,Europe,2021/11/21,1918246,885698,25.90%
Germany,Europe,2021/11/21,117623852,53149412,70.50%
Ghana,Africa,2021/11/17,3162666,834331,7.50%
Gibraltar,Europe,2021/11/23,96391,39817,121.40%
Greece,Europe,2021/11/21,13852038,6059821,64.50%
Greenland,Europe,2021/11/4,77383,37258,70.70%
Grenada,Americas,2021/11/19,73320,33603,35.30%
Guadeloupe,Americas,2021/11/19,266496,125055,33.70%
Guam,Western Pacific,2021/11/24,265356,123402,79.70%
Guatemala,Americas,2021/11/19,9353918,3716249,31.50%
